,food,quantity,nutrient
640,Fish Oil,30000,VITA_RAE
898,Turkey,22600,VITA_RAE
5072,Veal,21145,VITA_RAE
863,Duck,11984,VITA_RAE
3755,Beef,9442,VITA_RAE
870,Goose,9309,VITA_RAE
1586,Liver Sausage,8308,VITA_RAE
5070,Lamb,7782,VITA_RAE
1648,Oscar Mayer,7133,VITA_RAE
2607,Pork,6502,VITA_RAE
4216,Orange-Flavor Drk,6006,VITA_RAE
7329,Fruit-Flavored Drk,5997,VITA_RAE
1585,Liver Cheese,5252,VITA_RAE
1746,Pate  Truffle Flavor,4505,VITA_RAE
857,Chicken,4374,VITA_RAE
1559,Braunschweiger (A Liver Sausage),4220,VITA_RAE
1715,Liverwurst Sprd,4091,VITA_RAE
4182,Malted Drk Mix,3929,VITA_RAE
3536,Peppers,3863,VITA_RAE
3308,Carrot,3423,VITA_RAE
3267,Chives,3415,VITA_RAE
3281,Shallots,2805,VITA_RAE
215,Paprika,2637,VITA_RAE
218,Pepper,2081,VITA_RAE
1850,Cereals,1589,VITA_RAE
196,Chili Powder,1483,VITA_RAE
709,Margarine-Like Sprd,1433,VITA_RAE
3573,Grape Leaves,1376,VITA_RAE
1815,Cereals Rte,1324,VITA_RAE
4683,Peanut Butter,1172,VITA_RAE
4319,Eel,1137,VITA_RAE
7116,Oil,1044,VITA_RAE
3207,Sweet Potato,1043,VITA_RAE
700,Margarine,1032,VITA_RAE
1596,Pate,1001,VITA_RAE
669,Margarine Sprd,993,VITA_RAE
3291,Carrot Juice,956,VITA_RAE
3225,Tomato Powder,862,VITA_RAE
2902,Carrots,852,VITA_RAE
2,Butter Oil,840,VITA_RAE
7192,Vegetable Oil-Butter Sprd,819,VITA_RAE
7248,Butter-Margarine Blend,819,VITA_RAE
636,Margarine-Butter Blend,819,VITA_RAE
3350,Broccoli,800,VITA_RAE
3137,Pumpkin,778,VITA_RAE
2982,Kale,769,VITA_RAE
4411,Tuna,757,VITA_RAE
3392,Dandelion Grns,727,VITA_RAE
84,Milk,709,VITA_RAE
1,Butter,684,VITA_RAE
2052,Cerls,661,VITA_RAE
2213,Apricots,633,VITA_RAE
1752,Scrapple,626,VITA_RAE
122,Egg,616,VITA_RAE
7391,Breakfast Bar,608,VITA_RAE
3166,Spinach,603,VITA_RAE
1161,Soup,600,VITA_RAE
3246,Vegetables,583,VITA_RAE
2990,Lambsquarters,580,VITA_RAE
3237,Turnip Greens,579,VITA_RAE
3380,Collards,575,VITA_RAE
7023,Whale,561,VITA_RAE
4701,Soy Prot Isolate,559,VITA_RAE
3474,Squash,558,VITA_RAE
3498,Turnip Grns,538,VITA_RAE
245,Spearmint,529,VITA_RAE
3014,Mustard Greens,525,VITA_RAE
216,Parsley,509,VITA_RAE
2960,Dandelion Greens,508,VITA_RAE
1922,Cereals Ready To Eat,501,VITA_RAE
3018,Mustard Spinach,495,VITA_RAE
144,Cheese,486,VITA_RAE
4255,Cocoa Mix,479,VITA_RAE
3059,Peas&Carrots,476,VITA_RAE
190,Spices,469,VITA_RAE
5696,Toaster Pastries,467,VITA_RAE
148,Cheese Sub,437,VITA_RAE
5691,Waffle,437,VITA_RAE
2997,Lettuce,436,VITA_RAE
3073,Pokeberry Shoots,435,VITA_RAE
3243,Turnip Grns&Turnips,431,VITA_RAE
51,Cream,411,VITA_RAE
3257,Winged Bean Leaves,405,VITA_RAE
210,Marjoram,403,VITA_RAE
5690,Waffles,401,VITA_RAE
3249,Vinespinach,400,VITA_RAE
3204,Sweetpotato,399,VITA_RAE
7057,Seal,393,VITA_RAE
3404,Lambs Quarters,391,VITA_RAE
231,Dill Weed,386,VITA_RAE
2869,Beet Grns,383,VITA_RAE
2973,Horseradish-Tree Leafy Tips,378,VITA_RAE
132,Egg Substitute,369,VITA_RAE
2945,Cornsalad,355,VITA_RAE
3410,Mustard Grns,354,VITA_RAE
3396,Horseradish-Tree,351,VITA_RAE
2956,Cress,346,VITA_RAE
7311,Cheese Sprd,341,VITA_RAE
2932,Coriander (Cilantro) Leaves,337,VITA_RAE
2868,Beet Greens,316,VITA_RAE
